 Creature ,   Health ,   Stamina ,   Oxygen ,   Food ,   Weight ,  Base Damage ,   Movement Speed ,   Torpidity 
 Level 1 , +W , +T , Level 1 , +W , +T , Level 1 , +W , +T , Level 1 , +W , +T , Level 1 , +W , +T , Level 1 , +W , +T , Level 1 , +T , Level 1 , +W 
   Ichthyornis ,50, 10 , 5.4 ,150, 15 ,10 ,150, 15 ,10 ,1000, 100 ,10 ,55, 1.1 ,4 ,1 / 5, 0.05 / 0.25 ,1.7 ,100,1 ,120 , 7.2
   Ichthyosaurus ,275, 13.75 , 1.35 ,300, 60 ,20 ,150, 15 ,0 ,1000, 100 ,10 ,250, 5 ,4 ,15 , 0.75  ,0.85 ,100,1.5 ,300 , 18
   Iguanodon ,250, 50 , 5.4 ,200, 20 ,10 ,150, 15 ,10 ,1800, 180 ,10 ,375, 7.5 ,4 ,25 , 1.25  ,1.7 ,100,2 ,210 , 12.6
   Injured Brute Reaper King ,, , ,?, , ,, , ,?, , ,?, , ,? , ,0 ,, , , 
   Insect Swarm ,500, 100 , ,100, 10 ,0 ,150, 15 ,0 ,100, 10 ,0 ,100, 2 ,0 ,23 , 1.15  ,0 ,100, ,100 , 6
   Jerboa ,55, 11 , 5.4 ,100, 10 ,10 ,150, 15 ,10 ,450, 45 ,10 ,55, 1.1 ,4 ,3 , 0.15  ,1.7 ,100,1 ,30 , 1.8
   Jug Bug ,75, 15 , ,100, 10 ,0 ,150, 15 ,0 ,450, 45 ,0 ,50, 1 ,0 ,18 , 0.9  ,0 ,100, ,100 , 6
   Kairuku ,95, 19 , 5.4 ,200, 20 ,10 ,, , ,900, 90 ,10 ,70, 1.4 ,4 ,8 , 0.4  ,1.7 ,100,1 ,300 , 18
   Kaprosuchus ,200, 40 , 5.4 ,350, 35 ,10 ,150, 15 ,0 ,1200, 120 ,10 ,140, 2.8 ,4 ,25 / 45, 1.25 / 2.25 ,1.7 ,100,1 ,200 , 12
   Karkinos ,1200, 240 , 5.4 ,600, 60 ,10 ,, , ,5000, 500 ,10 ,800, 16 ,4 ,32 / 50, 1.6 / 2.5 ,1.7 ,100,1 ,800 , 48
   Kentrosaurus ,650, 130 , 5.4 ,300, 30 ,10 ,150, 15 ,10 ,6000, 600 ,10 ,500, 10 ,4 ,10 / 42, 0.5 / 2.1 ,1.7 ,100,1 ,500 , 30
   King Titan ,1500000, 0 , ,1000000, 100000 ,0 ,150, 15 ,0 ,100, 10 ,0 ,100, 2 ,0 ,0 , 0  ,0 ,100, ,100 , 6
   King Titan ,2000000, 0 , ,100000, 10000 ,0 ,150, 15 ,0 ,100, 10 ,0 ,100, 2 ,0 ,0 , 0  ,0 ,100, ,100 , 6
   King Titan ,2500000, 0 , ,100000, 10000 ,0 ,150, 15 ,0 ,100, 10 ,0 ,100, 2 ,0 ,0 , 0  ,0 ,100, ,100 , 6
   Lamprey ,40, 8 , ,100, 10 ,0 ,, , ,450, 45 ,0 ,10, 0.2 ,0 ,7 , 0.35  ,0 ,100, ,50 , 3
   Lava Elemental ,60000, 750 , ,300, 30 ,0 ,, , ,6000, 600 ,0 ,660, 13.2 ,0 ,120 , 6  ,0 ,100, ,5000 , 300
   Leech ,40, 8 , ,100, 10 ,0 ,, , ,450, 45 ,0 ,10, 0.2 ,0 ,7 , 0.35  ,0 ,100, ,50 , 3
   Leedsichthys ,4400, 528 , ,500, 50 ,0 ,, , ,8000, 800 ,0 ,1800, 36 ,0 ,115 , 0  ,0 ,100, ,4500 , 270
   Liopleurodon ,3200, 640 , 5.4 ,800, 80 ,10 ,, , ,2000, 200 ,10 ,1000, 20 ,4 ,40 , 2  ,1.7 ,100,1 ,800 , 48
   Lymantria ,260, 52 , 5.4 ,150, 7.5 ,6 ,150, 15 ,10 ,2000, 200 ,10 ,175, 3.5 ,3 ,18 , 0.9  ,1.7 ,100, ,550 , 33
   Lystrosaurus ,90, 18 , 5.4 ,100, 10 ,10 ,215, 21.5 ,10 ,500, 50 ,10 ,90, 1.8 ,4 ,6 , 0.3  ,1.7 ,100,1 ,100 , 6
   Magmasaur ,3000, 150 , 2.7 ,500, 25 ,5 ,200, 20 ,10 ,2000, 200 ,10 ,550, 11 ,4 ,120 , 3.6  ,0.51 ,100,0.5 ,725 , 43.5
   Mammoth ,850, 170 , 5.4 ,330, 33 ,10 ,150, 15 ,10 ,5000, 500 ,10 ,500, 10 ,4 ,48 / 69, 2.4 / 3.45 ,1.7 ,100,1.5 ,550 , 33
   Managarmr ,825, 165 , 5.4 ,300, 30 ,6 ,150, 15 ,10 ,2000, 200 ,10 ,300, 6 ,4 ,0 , 0  ,1.7 ,100,0.35 ,800 , 48
   Manta ,320, 16 , 1.35 ,270, 54 ,20 ,, , ,1000, 100 ,10 ,200, 4 ,4 ,28 , 1.4  ,0.85 ,100,1.25 ,700 , 42
   Manticore (Gamma) ,100000, 20000 , ,400, 40 ,0 ,2000, 200 ,0 ,2600, 260 ,0 ,3000, 60 ,0 ,85 / 8, 4.25 / 0.4 ,0 ,100, ,350 , 21
   Manticore (Beta) ,130000, 32500 , ,400, 40 ,0 ,2000, 200 ,0 ,2600, 260 ,0 ,3000, 60 ,0 ,110 / 10, 7.7 / 0.7 ,0 ,100, ,350 , 21
   Manticore (Alpha) ,160000, 48000 , ,400, 40 ,0 ,2000, 200 ,0 ,2600, 260 ,0 ,3000, 60 ,0 ,120 / 16, 12 / 1.6 ,0 ,100, ,350 , 21
   Mantis ,275, 55 , 2.7 ,150, 15 ,10 ,150, 15 ,10 ,900, 90 ,10 ,220, 4.4 ,8 ,34 / 120, 0.85 / 3 ,1.7 ,100,1 ,350 , 21
   Megachelon ,1920, 384 , 5.4 ,100, 10 ,10 ,150, 15 ,10 ,8800, 880 ,10 ,2500, 50 ,4 ,125 , 6.25  ,1.7 ,100,1 ,10000 , 600
   Megalania ,480, 96 , 5.4 ,400, 40 ,10 ,200, 20 ,10 ,1500, 150 ,10 ,400, 8 ,4 ,10 / 16, 0.5 / 0.8 ,1.7 ,100,1 ,700 , 42
   Megaloceros ,300, 60 , 5.4 ,280, 28 ,10 ,150, 15 ,10 ,1200, 120 ,10 ,220, 4.4 ,4 ,30 , 1.5  ,1.7 ,100,1 ,175 , 10.5
   Megalodon ,600, 120 , 5.4 ,320, 32 ,10 ,150, 15 ,0 ,2000, 200 ,10 ,250, 5 ,4 ,40 , 2  ,1.7 ,100,1 ,800 , 48
   Megalosaurus ,1025, 205 , 5.4 ,300, 30 ,10 ,150, 15 ,10 ,2000, 200 ,10 ,300, 6 ,4 ,75 / 1, 3.75 / 0.05 ,1.7 ,100,1 ,775 , 46.5
   Meganeura ,45, 9 , ,100, 10 ,0 ,150, 15 ,0 ,450, 45 ,0 ,50, 1 ,0 ,10 , 0.5  ,0 ,100, ,100 , 6
   Megapithecus (Gamma) ,180000, 0 , ,650, 0 ,0 ,, , ,2600, 0 ,0 ,4000, 80 ,0 ,400 , 0  ,0 ,100, ,350 , 21
   Megapithecus (The Center Gamma) ,352000, 0 , ,650, 0 ,0 ,, , ,2600, 0 ,0 ,4000, 80 ,0 ,400 , 0  ,0 ,100, ,350 , 21
   Megapithecus (Beta) ,396000, 0 , ,650, 0 ,0 ,, , ,2600, 0 ,0 ,4000, 80 ,0 ,800 , 0  ,0 ,100, ,350 , 21
   Megapithecus (The Center Beta) ,400000, 0 , ,650, 0 ,0 ,, , ,2600, 0 ,0 ,4000, 80 ,0 ,600 , 0  ,0 ,100, ,350 , 21
   Megapithecus (The Center Alpha) ,464000, 0 , ,650, 0 ,0 ,, , ,2600, 0 ,0 ,4000, 80 ,0 ,800 , 0  ,0 ,100, ,350 , 21
   Megapithecus (Alpha) ,540000, 0 , ,650, 0 ,0 ,, , ,2600, 0 ,0 ,4000, 80 ,0 ,1200 , 0  ,0 ,100, ,350 , 21
   Megapithecus Pestis ,54000, 0 , ,650, 0 , ,2000, 0 , ,2600, 0 , ,4000, 80 , ,? , ,0 ,100, ,350 , 21
   Megatherium ,740, 148 , 5.4 ,400, 40 ,10 ,270, 27 ,10 ,3000, 300 ,10 ,725, 14.5 ,4.5 ,32 , 1.6  ,1.7 ,100,1 ,1000 , 60
   Mek ,5500, 880 , 5.4 ,1000, 100 ,10 ,150, , ,100, , ,1250, 110.625 ,4 ,0 , 0  ,1.7 ,,1 ,100 , 6
   Mek (Mega) ,9000, 1800 , 5.4 ,1000, 100 ,10 ,150, , ,100, , ,9001, 180.02 ,4 ,0 , 0  ,1.7 ,,1 ,100 , 6
   Mesopithecus ,115, 23 , 5.4 ,100, 10 ,10 ,150, 15 ,10 ,450, 45 ,10 ,70, 1.4 ,4 ,12 / 1, 0.6 / 0.05 ,1.7 ,100,1 ,60 , 3.6
   Microraptor ,130, 26 , 5.4 ,100, 10 ,10 ,150, 15 ,10 ,450, 45 ,10 ,45, 0.9 ,4 ,8 , 0.4  ,1.7 ,100,1 ,75 , 4.5
"   Moeder, Master of the Ocean (Gamma) ",3200, 640 , ,300, 30 ,0 ,, ,0 ,100, 10 ,0 ,850, 17 ,0 ,175 , 8.75  ,0 ,100, ,1500.5 , 90.03
"   Moeder, Master of the Ocean (Beta) ",6400, 1280 , ,300, 30 ,0 ,, ,0 ,100, 10 ,0 ,850, 17 ,0 ,175 , 8.75  ,0 ,100, ,1500.5 , 90.03
"   Moeder, Master of the Ocean (Alpha) ",9600, 1920 , ,300, 30 ,0 ,, ,0 ,100, 10 ,0 ,850, 17 ,0 ,175 , 8.75  ,0 ,100, ,1500.5 , 90.03
"   Moeder, Master of the Ocean (Gamma) ",490000, 98000 , ,600, 60 ,0 ,, ,0 ,12000, 1200 ,0 ,2000, 40 ,0 ,180 , 9  ,0 ,100, ,5000 , 300
"   Moeder, Master of the Ocean (Beta) ",686000, 137200 , ,600, 60 ,0 ,, ,0 ,12000, 1200 ,0 ,2000, 40 ,0 ,360 , 18  ,0 ,100, ,5000 , 300
"   Moeder, Master of the Ocean (Alpha) ",960400, 192080 , ,600, 60 ,0 ,, ,0 ,12000, 1200 ,0 ,2000, 40 ,0 ,520 , 26  ,0 ,100, ,5000 , 300
   Morellatops ,400, 80 , 5.4 ,220, 22 ,10 ,150, 15 ,10 ,6000, 600 ,10 ,440, 8.8 ,4 ,32 , 1.6  ,1.7 ,100,1 ,315 , 18.9
   Mosasaurus ,3600, 432 , 4.2 ,400, 40 ,10 ,, , ,8000, 800 ,10 ,1300, 26 ,4 ,100 , 5  ,1.7 ,100,0.5 ,3000 , 180
   Moschops ,375, 75 , 5.4 ,300, 30 ,10 ,150, 15 ,10 ,300, 30 ,10 ,200, 4 ,4 ,32 , 1.6  ,1.7 ,100,1 ,300 , 18
   Moschops (Aberrant) ,375, 75 , 5.4 ,300, 30 ,10 ,150, 15 ,10 ,300, 30 ,10 ,200, 4 ,4 ,32 , 1.6  ,1.7 ,100,1 ,300 , 18
   Nameless ,220, 44 , ,150, 15 ,0 ,150, 15 ,0 ,1500, 150 ,0 ,180, 3.6 ,0 ,10 , 0.5  ,0 ,100, ,220 , 13.2
   Noctis ,240, 48 , 5.4 ,560, 56 ,10 ,150, 15 ,10 ,1500, 150 ,10 ,350, 7 ,4 ,9 / 11, 0.45 / 0.55 ,1.7 ,100,1.75 ,420 , 25.2
   Obsidioequus ,60000, 12000 , ,650, 65 , ,150, 15 , ,4000, 400 , ,3000, 60 , ,? , ,0 ,100, ,500 , 30
   Onyc ,250, 50 , 5.4 ,100, 10 ,10 ,150, 15 ,10 ,1500, 150 ,10 ,50, 1 ,4 ,35 , 1.75  ,1.7 ,100,1 ,200 , 12
   Otter ,40, 8 , 5.4 ,180, 18 ,10 ,600, 60 ,10 ,400, 40 ,10 ,30, 0.6 ,4 ,10 , 0.4  ,1.7 ,100,1 ,350 , 21
   Overseer ,24000, 4800 , ,10000, 1000 ,0 ,2000, 200 ,0 ,2600, 260 ,0 ,4000, 80 ,2 ,0 , 0  ,0 ,100, ,350 , 21
   Overseer (Gamma) ,63360, 12672 , ,10000, 1000 ,0 ,, , ,2600, 260 ,0 ,4000, 80 ,0 ,0 , 0  ,0 ,100, ,350 , 21
   Overseer (Beta) ,132480, 26496 , ,10000, 1000 ,0 ,, , ,2600, 260 ,0 ,4000, 80 ,0 ,0 , 0  ,0 ,100, ,350 , 21
   Overseer (Alpha) ,207360.0156, 41472.00312 , ,10000, 1000 ,0 ,, , ,2600, 260 ,0 ,4000, 80 ,0 ,0 , 0  ,0 ,100, ,350 , 21
   Oviraptor ,140, 28 , 5.4 ,120, 12 ,10 ,150, 15 ,10 ,900, 90 ,10 ,100, 2 ,4 ,12 , 0.6  ,1.7 ,100,1 ,125 , 7.5
   Ovis ,100, 20 , 5.4 ,100, 10 ,10 ,150, 15 ,10 ,1200, 120 ,10 ,90, 1.8 ,4 ,5 , 0.25  ,1.7 ,100,1 ,85 , 5.1
   Pachy ,175, 35 , 5.4 ,150, 15 ,10 ,150, 15 ,10 ,1200, 120 ,10 ,150, 3 ,4 ,10 , 0.5  ,1.7 ,100,3 ,160 , 9.6
   Pachyrhinosaurus ,375, 75 , 5.4 ,150, 15 ,10 ,150, 15 ,10 ,3000, 300 ,10 ,365, 7.3 ,4 ,28 / 10, 1.4 / 0.5 ,1.7 ,100,1 ,250 , 15
   Paraceratherium (Corrupted) ,1026, 205.2 , ,300, 30 ,0 ,150, 15 ,0 ,6500, 650 ,0 ,850, 17 ,0 ,45 , 2.25  ,0 ,100, ,1300 , 78
   Paraceratherium ,1026, 205.2 , 4.05 ,300, 30 ,10 ,150, 15 ,10 ,6500, 650 ,10 ,850, 17 ,4 ,45 , 2.25  ,1.7 ,100,1 ,1300 , 78
   Paraceratherium (Aberrant) ,1026, 205.2 , 4.05 ,300, 30 ,10 ,150, 15 ,10 ,6500, 650 ,10 ,850, 17 ,4 ,45 , 2.25  ,1.7 ,100,1 ,1300 , 78
   Parakeet Fish School ,1800, 360 , ,100, 10 ,0 ,150, 15 ,0 ,100, 10 ,0 ,100, 2 ,0 ,23 , 1.15  ,0 ,100, ,100 , 6
   Parasaur ,200, 40 , 5.4 ,450, 45 ,10 ,150, 15 ,10 ,1500, 150 ,10 ,480, 9.6 ,4 ,12 , 0.6  ,1.7 ,100,1 ,150 , 9
   Parasaur (Aberrant) ,200, 40 , 5.4 ,450, 45 ,10 ,150, 15 ,10 ,1500, 150 ,10 ,480, 9.6 ,4 ,12 , 0.6  ,1.7 ,100,1 ,150 , 9
   Pegomastax ,120, 24 , 5.4 ,100, 10 ,10 ,150, 15 ,10 ,450, 45 ,10 ,55, 1.1 ,4 ,10 / 1, 0.5 / 0.05 ,1.7 ,100,1 ,30 , 1.8
   Pelagornis ,240, 48 , 5.4 ,180, 9 ,4 ,150, 15 ,10 ,1200, 120 ,10 ,150, 3 ,3 ,16 , 0.8  ,1.275 ,100, ,120 , 7.2
   Phiomia ,300, 60 , 5.4 ,300, 30 ,10 ,150, 15 ,10 ,3000, 300 ,10 ,200, 4 ,4 ,10 , 0.5  ,1.7 ,100,1 ,240 , 14.4
   Phoenix ,640, 128 , 5.4 ,352, 35.2 ,10 ,150, 15 ,10 ,1500, 150 ,10 ,324, 6.48 ,4 ,14 / 23, 0.7 / 1.15 ,1.7 ,100, ,200 , 12
   Piranha ,150, 30 , ,120, 12 ,0 ,, , ,1200, 120 ,0 ,15, 0.3 ,0 ,22 , 1.1  ,0 ,100, ,250 , 15
   Plesiosaur ,2400, 288 , 3.24 ,800, 80 ,10 ,150, 15 ,0 ,5000, 500 ,10 ,800, 16 ,4 ,75 , 3.75  ,1.7 ,100,0.5 ,1600 , 96
   Procoptodon ,400, 80 , 5.4 ,350, 35 ,10 ,150, 15 ,10 ,1500, 150 ,10 ,550, 11 ,4 ,20 , 1  ,1.7 ,100,1 ,350 , 21
   Pteranodon (Corrupted) ,210, 42 , ,150, 7.5 ,0 ,150, 15 ,0 ,1200, 120 ,0 ,120, 2.4 ,0 ,12 , 0.6  ,0 ,100, ,120 , 7.2
   Pteranodon ,210, 42 , 3 ,150, 7.5 ,4 ,150, 15 ,10 ,1200, 120 ,10 ,120, 2.4 ,3 ,18 / 50, 0.9 / 2.5 ,1.275 ,100, ,120 , 7.2
   Pteranodon (Gamma Minion) ,520, 104 , 3 ,150, 7.5 ,4 ,150, 15 ,10 ,1200, 120 ,10 ,120, 2.4 ,3 ,18 / 50, 0.9 / 2.5 ,1.275 ,100, ,120 , 7.2
   Pteranodon (Beta Minion) ,1040, 208 , 3 ,150, 7.5 ,4 ,150, 15 ,10 ,1200, 120 ,10 ,120, 2.4 ,3 ,18 / 50, 0.9 / 2.5 ,1.275 ,100, ,120 , 7.2
   Pteranodon (Alpha Minion) ,1560, 312 , 3 ,150, 7.5 ,4 ,150, 15 ,10 ,1200, 120 ,10 ,120, 2.4 ,3 ,18 / 50, 0.9 / 2.5 ,1.275 ,100, ,120 , 7.2
   Pulmonoscorpius ,280, 56 , 5.4 ,200, 20 ,10 ,150, 15 ,10 ,1500, 150 ,10 ,200, 4 ,4 ,15 , 0.75  ,1.7 ,100,1 ,150 , 9
   Purlovia ,275, 55 , 5.4 ,300, 30 ,10 ,150, 15 ,10 ,4000, 400 ,10 ,400, 8 ,4 ,32 , 1.6  ,1.7 ,100,1 ,500 , 30
   Purlovia ,550, 110 , ,300, 30 ,0 ,150, 15 ,0 ,4000, 400 ,0 ,400, 8 ,0 ,32 , 1.6  ,0 ,100, ,500 , 30
   Quetzal ,1200, 240 , 2.16 ,800, 40 ,5 ,150, 15 ,10 ,1200, 120 ,10 ,800, 16 ,5 ,32 , 1.28  ,1.7 ,100, ,1850 , 111
   Raptor (Corrupted) ,200, 40 , ,150, 15 ,0 ,150, 15 ,0 ,1200, 120 ,0 ,140, 2.8 ,0 ,15 , 0.75  ,0 ,100, ,180 , 10.8
   Raptor ,200, 40 , 5.4 ,150, 15 ,10 ,150, 15 ,10 ,1200, 120 ,10 ,140, 2.8 ,4 ,15 / 10, 0.75 / 0.5 ,1.7 ,100,1.5 ,180 , 10.8
   Raptor (Aberrant) ,200, 40 , 5.4 ,150, 15 ,10 ,150, 15 ,10 ,1200, 120 ,10 ,140, 2.8 ,4 ,15 , 0.75  ,1.7 ,100,1.5 ,180 , 10.8
   Ravager ,400, 80 , 5.4 ,350, 35 ,10 ,150, 15 ,10 ,1200, 120 ,10 ,500, 10 ,4 ,33 , 1.32  ,1.36 ,100,1 ,500 , 30
   Reaper (Elemental King) ,1250, 250 , ,480, 48 ,0 ,150, 15 ,0 ,3000, 300 ,0 ,415, 8.3 ,0 ,90 , 4.5  ,0 ,100, ,925 , 55.5
   Reaper (Subterranean King) ,2000, 400 , ,480, 48 ,0 ,150, 15 ,0 ,3000, 300 ,0 ,415, 8.3 ,0 ,85 , 4.25  ,1.7 ,100, ,925 , 55.5
   Reaper (Surface King) ,2500, 500 , ,480, 48 ,0 ,150, 15 ,0 ,3000, 300 ,0 ,415, 8.3 ,0 ,85 , 4.25  ,0 ,100, ,925 , 55.5
   Reaper (Alpha Surface King) ,42500, 8500 , ,480, 48 ,0 ,150, 15 ,0 ,3000, 300 ,0 ,415, 8.3 ,0 ,180 , 9  ,0 ,100, ,925 , 55.5
   Reaper ,45000, 234 , ,480, 48 ,0 ,150, 15 ,0 ,3000, 300 ,0 ,415, 8.3 ,0 ,75 / 1, 3.75 / 0.05 ,0 ,100, ,925 , 55.5
   Reaper (King Tamed) ,45000, 234 , 2.7 ,480, 48 ,10 ,150, 15 ,10 ,3000, 300 ,10 ,415, 8.3 ,4 ,75 , 3.75  ,1.7 ,100,1 ,925 , 55.5
   Rex (Corrupted) ,1100, 220 , ,420, 42 ,0 ,150, 15 ,0 ,3000, 300 ,0 ,500, 10 ,0 ,62 , 3.1  ,0 ,100, ,1550 , 93
   Rex ,1100, 220 , 5.4 ,420, 42 ,10 ,150, 15 ,10 ,3000, 300 ,10 ,500, 10 ,4 ,62 , 3.1  ,1.7 ,100,1 ,1550 , 93
   Rock Drake (Corrupted) ,1950, 165.75 , ,450, 22.5 ,0 ,150, 15 ,0 ,2000, 200 ,0 ,400, 8 ,0 ,60 , 3  ,0 ,100, ,725 , 43.5
   Rock Drake ,1950, 165.75 , 4.05 ,450, 22.5 ,5 ,150, 15 ,10 ,2000, 200 ,10 ,400, 8 ,4 ,60 , 3  ,1.7 ,100, ,725 , 43.5
   Rock Elemental (Rubble Golem) ,4000, 50 , ,300, 30 ,0 ,, , ,6000, 600 ,0 ,660, 13.2 ,0 ,75 , 3.75  ,0 ,100, ,5000 , 300
   Rock Elemental ,25000, 312.5 , 2.7 ,300, 30 ,10 ,150, 15 ,0 ,6000, 600 ,10 ,660, 13.2 ,4 ,120 / 300, 6 / 15 ,1.7 ,100,1 ,5000 , 300
   Rock Elemental (Minion) ,50000, 625 , 2.7 ,1000, 100 ,10 ,150, 15 ,0 ,6000, 600 ,10 ,660, 13.2 ,4 ,120 / 300, 6 / 15 ,1.7 ,100,1 ,5000 , 300
   Rockwell (Gamma) ,3800, 0 , ,250, 25 ,0 ,, , ,3000, 300 ,0 ,380, 7.6 ,0 ,0 , 0  ,0 ,100, ,1000 , 60
   Rockwell (Beta) ,8500, 0 , ,250, 25 ,0 ,, , ,3000, 300 ,0 ,380, 7.6 ,0 ,0 , 0  ,0 ,100, ,1000 , 60
   Rockwell (Alpha) ,15250, 0 , ,250, 25 ,0 ,, , ,3000, 300 ,0 ,380, 7.6 ,0 ,0 , 0  ,0 ,100, ,1000 , 60
   Rockwell (Gamma) ,42000, 8400 , ,400, 40 ,0 ,2000, 200 ,0 ,2600, 260 ,0 ,3000, 60 ,0 ,0 , 0  ,0 ,100, ,350 , 21
   Rockwell (Beta) ,68500, 13700 , ,400, 40 ,0 ,2000, 200 ,0 ,2600, 260 ,0 ,3000, 60 ,0 ,0 , 0  ,0 ,100, ,350 , 21
   Rockwell (Alpha) ,115000, 23000 , ,400, 40 ,0 ,2000, 200 ,0 ,2600, 260 ,0 ,3000, 60 ,0 ,0 , 0  ,0 ,100, ,350 , 21
   Roll Rat ,850, 170 , 5.4 ,300, 30 ,10 ,150, 15 ,10 ,3000, 300 ,10 ,400, 8 ,4 ,42 , 2.1  ,1.7 ,100,2 ,800 , 48
   Royal Griffin ,750, 112.5 , 4.32 ,225, 11.25 ,6 ,150, 15 ,10 ,1600, 160 ,10 ,350, 7 ,4 ,27 / 12, 1.35 / 0.6 ,1.7 ,100,2.5 ,1500 , 90
   Sabertooth ,250, 50 , 5.4 ,200, 20 ,10 ,150, 15 ,10 ,1200, 120 ,10 ,200, 4 ,4 ,29 , 1.45  ,1.7 ,100,1 ,500 , 30
   Sabertooth Salmon ,65, 13 , ,100, 10 ,0 ,, , ,100, 10 ,0 ,18, 0.36 ,0 ,4 , 0.2  ,0 ,100, ,15 , 0.9
   Sarco ,400, 80 , 5.4 ,450, 45 ,10 ,, , ,1500, 150 ,10 ,300, 6 ,4 ,35 / 45, 1.75 / 2.25 ,1.7 ,100,1 ,400 , 24
   Sarco (Aberrant) ,400, 80 , 5.4 ,450, 45 ,10 ,, , ,1500, 150 ,10 ,300, 6 ,4 ,35 , 1.75  ,1.7 ,100,1 ,400 , 24
   Scout ,3, 0.225 , ,90, 180 , ,, , ,7, 3.5 , ,0, , ,0 , ,0 ,0.5, ,0 , 0
   Seeker ,250, 50 , ,100, 10 ,0 ,150, 15 ,0 ,1500, 150 ,0 ,50, 1 ,0 ,10 , 0.5  ,0 ,100, ,200 , 12
   Shinehorn ,115, 23 , 5.4 ,180, 19.8 ,11 ,180, 19.8 ,11 ,450, 45 ,10 ,100, 2 ,4 ,12 , 0.66  ,1.955 ,100,1 ,60 , 3.6
   Skeletal Bronto ,34500, 6900 , ,240, 24 ,0 ,150, 15 ,0 ,10000, 1000 ,0 ,1600, 32 ,0 ,90 , 4.5  ,0 ,100, ,2000 , 120
   Skeletal Carnotaurus ,6400, 1280 , ,300, 30 ,0 ,150, 15 , ,2000, 200 ,0 ,300, 6 ,0 ,80 , 4  ,0 ,100, ,350 , 21
   Skeletal Giganotosaurus ,80000, 40 , ,400, 0.2 ,0 ,150, 0.375 ,0 ,4000, 10 ,0 ,700, 7 ,0 ,1200 , 60  ,0 ,100, ,10000 , 600
   Skeletal Jerboa ,825, 165 , ,100, 10 ,0 ,150, 15 ,0 ,450, 45 ,0 ,55, 1.1 ,0 ,3 , 0.15  ,0 ,100, ,1000 , 60
   Skeletal Quetzal ,18000, 3600 , ,750, 75 ,0 ,150, 15 ,0 ,1200, 120 ,0 ,780, 15.6 ,0 ,48 , 1.92  ,0 ,100, ,1850 , 111
   Skeletal Raptor ,3600, 720 , ,150, 15 ,0 ,, , ,1200, 120 ,0 ,140, 2.8 ,0 ,40 , 2  ,0 ,100, ,180 , 10.8
   Skeletal Rex ,17500, 3500 , ,420, 42 ,0 ,150, 15 , ,3000, 300 ,0 ,500, 10 ,0 ,170 , 8.5  ,0 ,100, ,1550 , 93
   Skeletal Stego ,8550, 1710 , ,300, 30 ,0 ,150, 15 ,0 ,6000, 600 ,0 ,440, 8.8 ,0 ,62 , 3.1  ,0 ,100, ,500 , 30
   Skeletal Trike ,5625, 1125 , ,150, 15 ,0 ,150, 15 ,0 ,3000, 300 ,0 ,365, 7.3 ,0 ,48 , 2.4  ,0 ,100, ,250 , 15
   Snow Owl ,325, 65 , 5.4 ,350, 35 ,10 ,150, 15 ,10 ,2000, 200 ,10 ,375, 7.5 ,4 ,25 , 1.25  ,1.7 ,100, ,600 , 36
   Spino ,700, 140 , ,350, 35 ,0 ,650, 65 ,0 ,2600, 260 ,0 ,350, 7 ,0 ,40 , 2  ,0 ,100, ,850 , 51
   Spino ,700, 140 , 5.4 ,350, 35 ,10 ,650, 65 ,10 ,2600, 260 ,10 ,350, 7 ,4 ,40 , 2  ,1.7 ,100,1 ,850 , 51
   Spino (Aberrant) ,700, 140 , 5.4 ,350, 35 ,10 ,650, 65 ,10 ,2600, 260 ,10 ,350, 7 ,4 ,40 , 2  ,1.7 ,100,1 ,850 , 51
   Stegosaurus (Corrupted) ,650, 130 , ,300, 30 ,0 ,150, 15 ,0 ,6000, 600 ,0 ,500, 10 ,0 ,42 , 2.1  ,0 ,100, ,500 , 30
   Stegosaurus ,650, 130 , 5.4 ,300, 30 ,10 ,150, 15 ,10 ,6000, 600 ,10 ,500, 10 ,4 ,42 , 2.1  ,1.7 ,100,2 ,500 , 30
   Stegosaurus (Aberrant Stegosaurus) ,650, 130 , 5.4 ,300, 30 ,10 ,150, 15 ,10 ,6000, 600 ,10 ,500, 10 ,4 ,42 , 2.1  ,1.7 ,100,2 ,500 , 30
   Super Turkey ,2000, 400 , ,1000, 100 ,0 ,150, 15 , ,450, 0 ,0 ,170, 3.4 ,0 ,61 , 0.915  ,0 ,100, ,1000 , 60
   Tapejara ,325, 65 , 5.4 ,250, 12.5 ,6 ,150, 15 ,10 ,1600, 160 ,10 ,280, 5.6 ,4 ,18 , 0.9  ,1.7 ,100, ,450 , 27
   Terror Bird ,270, 54 , 5.4 ,160, 16 ,10 ,150, 15 ,10 ,1500, 150 ,10 ,120, 2.4 ,4 ,18 , 0.9  ,1.7 ,100,1 ,300 , 18
   Therizinosaur ,870, 174 , 5.4 ,300, 30 ,10 ,150, 15 ,10 ,3000, 300 ,10 ,365, 7.3 ,4 ,52 / 5, 2.6 / 0.25 ,1.7 ,100,1 ,925 , 55.5
   Thorny Dragon ,260, 52 , 5.4 ,350, 35 ,10 ,150, 15 ,10 ,1200, 120 ,10 ,300, 6 ,4 ,40 / 10, 2 / 0.5 ,1.7 ,100,1 ,450 , 27
   Thylacoleo ,700, 140 , 3.78 ,400, 40 ,10 ,200, 20 ,10 ,1500, 150 ,10 ,400, 8 ,4 ,40 , 2  ,1.7 ,100,1 ,700 , 42
